# L= 30 , T= 1.250000000 
1 -638 -112
2 -974 -128
3 -1122 -126
4 -1204 -132
5 -1270 -148
6 -1286 -140
7 -1320 -152
8 -1348 -186
9 -1382 -148
10 -1380 -140
11 -1422 -126
12 -1434 -132
13 -1412 -136
14 -1430 -144
15 -1438 -122
16 -1462 -108
17 -1468 -128
18 -1462 -90
19 -1470 -96
20 -1462 -72
21 -1458 -50
22 -1472 -46
23 -1456 -30
24 -1462 -22
25 -1440 -6
26 -1472 14
27 -1472 44
28 -1478 62
29 -1498 128
30 -1504 158
31 -1486 174
32 -1494 162
33 -1486 168
34 -1484 180
35 -1496 148
36 -1506 144
37 -1518 170
38 -1538 186
39 -1518 206
40 -1520 220
41 -1512 216
42 -1524 224
43 -1546 216
44 -1554 204
45 -1534 204
46 -1528 214
47 -1546 228
48 -1556 222
49 -1530 238
50 -1546 254
51 -1550 258
52 -1584 276
53 -1556 270
54 -1544 278
55 -1562 272
56 -1554 244
57 -1560 244
58 -1544 238
59 -1534 236
60 -1562 250
61 -1572 276
62 -1574 280
63 -1584 286
64 -1586 270
65 -1604 276
66 -1604 278
67 -1600 282
68 -1604 290
69 -1594 278
70 -1602 282
71 -1604 282
72 -1584 304
73 -1596 300
74 -1598 300
75 -1596 330
76 -1612 318
77 -1598 316
78 -1604 306
79 -1576 320
80 -1592 332
81 -1602 346
82 -1608 350
83 -1612 372
84 -1614 364
85 -1636 370
86 -1616 366
87 -1590 372
88 -1614 370
89 -1616 368
90 -1610 380
91 -1612 370
92 -1618 380
93 -1612 376
94 -1604 376
95 -1594 374
96 -1604 378
97 -1618 382
98 -1614 384
99 -1634 374
100 -1624 378
101 -1618 366
102 -1630 346
103 -1618 352
104 -1616 352
105 -1616 332
106 -1640 354
107 -1622 360
108 -1640 358
109 -1614 360
110 -1616 346
111 -1624 342
112 -1642 340
113 -1652 352
114 -1642 348
115 -1616 326
116 -1610 334
117 -1612 362
118 -1632 366
119 -1634 364
120 -1630 352
121 -1632 344
122 -1624 350
123 -1612 338
124 -1638 330
125 -1644 346
126 -1636 344
127 -1620 348
128 -1638 338
129 -1626 334
130 -1634 336
131 -1630 350
132 -1618 338
133 -1620 348
134 -1626 356
135 -1636 342
136 -1646 360
137 -1654 364
138 -1646 376
139 -1644 378
140 -1664 352
141 -1646 362
142 -1654 366
143 -1668 370
144 -1646 372
145 -1620 376
146 -1622 376
147 -1650 402
148 -1632 406
149 -1636 408
150 -1648 410
151 -1634 416
152 -1642 420
153 -1622 414
154 -1642 414
155 -1644 412
156 -1624 416
157 -1642 422
158 -1652 432
159 -1658 432
160 -1638 416
161 -1644 406
162 -1670 410
163 -1644 400
164 -1622 384
165 -1636 400
166 -1636 402
167 -1634 398
168 -1616 390
169 -1624 398
170 -1648 400
171 -1642 400
172 -1634 402
173 -1648 420
174 -1662 422
175 -1648 408
